,21706894,21505186,21712798,20144769,21507122,21502642,21705472,21000002,21712227,21507151,21708799,21507879,21506945
21706894,-1,AR,AB,B,TB,B,AB,B,TB,AB,P,B,TB
21505186,B,-1,P,TB,AR,I,TB,AB,P,AR,B,I,AR
21712798,B,TB,-1,I,TB,P,P,TB,AB,I,P,B,B
20144769,AR,B,AR,-1,AB,TB,AB,TB,B,AB,B,AR,B
21507122,B,I,B,AB,-1,P,AR,TB,TB,I,B,AB,I
21502642,B,AB,AR,B,TB,-1,I,B,B,TB,AB,I,B
21705472,TB,TB,AB,B,I,B,-1,B,I,P,AB,TB,TB
21000002,AB,B,I,AB,AB,P,P,-1,P,B,B,AR,TB
21712227,AR,AR,AR,B,B,I,AB,P,-1,AB,P,B,AR
21507151,I,P,B,TB,B,P,AB,I,AR,-1,AB,AB,B
21708799,I,I,TB,AB,AB,TB,B,B,B,AR,-1,AB,B
21507879,AB,B,AB,AR,B,AB,I,I,AB,I,B,-1,AB
21506945,AR,TB,AR,TB,TB,B,I,AB,P,AB,AB,B,-1
